Aspect_0	Aspect_1	Aspect_2	Aspect_3	Aspect_4	alpha	beta	data	aux_data	sigma
-1.023:0.089	-0.322:0.128	-1.482:0.155	-1.320:0.111	-2.735:0.178	9.915	15.856	3.035	6.223	-1.598
-1.020:0.000	-0.319:0.000	-1.485:0.000	-1.315:0.000	-2.743:0.001	0.028	14.386	13.835	2.802	-1.679
-1.031:0.004	-0.291:0.071	-1.481:0.040	-1.325:0.001	-2.754:0.011	1.908	12.077	7.106	6.337	-2.426
-1.062:0.012	-0.241:0.332	-1.464:0.074	-1.338:0.019	-2.775:0.014	6.760	11.264	1.509	7.975	-4.723
-1.088:0.035	-0.205:0.568	-1.448:0.080	-1.350:0.038	-2.789:0.016	11.039	11.144	0.152	8.046	-9.314
-1.101:0.041	-0.198:0.611	-1.427:0.075	-1.352:0.042	-2.802:0.016	11.777	11.134	0.002	8.011	-18.444
-1.105:0.041	-0.197:0.611	-1.419:0.076	-1.353:0.042	-2.807:0.016	11.775	11.134	0.285	8.012	-22.407
-1.113:0.040	-0.195:0.611	-1.403:0.075	-1.354:0.042	-2.815:0.016	11.753	11.134	0.000	8.018	-42.603
-1.113:0.040	-0.195:0.611	-1.403:0.075	-1.354:0.042	-2.815:0.016	11.753	11.134	15.000	8.018	-42.603
-1.113:0.040	-0.195:0.611	-1.403:0.075	-1.354:0.042	-2.815:0.016	11.753	11.134	15.000	8.018	-42.603
